,Period,HomeCountry,Commune,Gender,Population
4276,2023Q4,Croatia,Faxe,Men,6
4277,2023Q4,Croatia,Faxe,Women,4
4278,2023Q4,Croatia,Guldborgsund,Men,31
4279,2023Q4,Croatia,Guldborgsund,Women,15
4280,2023Q4,Croatia,Holbæk,Men,26
4281,2023Q4,Croatia,Holbæk,Women,6
4282,2023Q4,Croatia,Kalundborg,Men,13
4283,2023Q4,Croatia,Kalundborg,Women,14
4284,2023Q4,Croatia,Lolland,Men,10
4285,2023Q4,Croatia,Lolland,Women,7
4286,2023Q4,Croatia,Næstved,Men,32
4287,2023Q4,Croatia,Næstved,Women,15
4288,2023Q4,Croatia,Odsherred,Men,4
4289,2023Q4,Croatia,Odsherred,Women,2
4290,2023Q4,Croatia,Ringsted,Men,7
4291,2023Q4,Croatia,Ringsted,Women,5
4292,2023Q4,Croatia,Slagelse,Men,8
4293,2023Q4,Croatia,Slagelse,Women,13
4294,2023Q4,Croatia,Sorø,Men,4
4295,2023Q4,Croatia,Sorø,Women,3
4296,2023Q4,Croatia,Stevns,Men,6
4297,2023Q4,Croatia,Stevns,Women,3
4298,2023Q4,Croatia,Vordingborg,Men,23
4299,2023Q4,Croatia,Vordingborg,Women,12
4300,2023Q4,Croatia,Region Syddanmark,Men,329
4301,2023Q4,Croatia,Region Syddanmark,Women,278
4302,2023Q4,Croatia,Assens,Men,1
4303,2023Q4,Croatia,Assens,Women,1
4304,2023Q4,Croatia,Faaborg-Midtfyn,Men,3
4305,2023Q4,Croatia,Faaborg-Midtfyn,Women,1
4306,2023Q4,Croatia,Kerteminde,Men,5
4307,2023Q4,Croatia,Kerteminde,Women,3
4308,2023Q4,Croatia,Langeland,Men,3
4309,2023Q4,Croatia,Langeland,Women,3
4310,2023Q4,Croatia,Middelfart,Men,11
4311,2023Q4,Croatia,Middelfart,Women,2
4312,2023Q4,Croatia,Nordfyns,Men,2
4313,2023Q4,Croatia,Nordfyns,Women,1
4314,2023Q4,Croatia,Nyborg,Men,4
4315,2023Q4,Croatia,Nyborg,Women,7
4316,2023Q4,Croatia,Odense,Men,58
4317,2023Q4,Croatia,Odense,Women,63
4318,2023Q4,Croatia,Svendborg,Men,6
4319,2023Q4,Croatia,Svendborg,Women,6
4320,2023Q4,Croatia,Ærø,Men,0
4321,2023Q4,Croatia,Ærø,Women,0
4322,2023Q4,Croatia,Billund,Men,10
4323,2023Q4,Croatia,Billund,Women,9
4324,2023Q4,Croatia,Esbjerg,Men,41
4325,2023Q4,Croatia,Esbjerg,Women,29
4326,2023Q4,Croatia,Fanø,Men,2
4327,2023Q4,Croatia,Fanø,Women,3
4328,2023Q4,Croatia,Fredericia,Men,12
4329,2023Q4,Croatia,Fredericia,Women,10
4330,2023Q4,Croatia,Haderslev,Men,6
4331,2023Q4,Croatia,Haderslev,Women,8
4332,2023Q4,Croatia,Kolding,Men,56
4333,2023Q4,Croatia,Kolding,Women,39
4334,2023Q4,Croatia,Sønderborg,Men,34
4335,2023Q4,Croatia,Sønderborg,Women,27
4336,2023Q4,Croatia,Tønder,Men,7
4337,2023Q4,Croatia,Tønder,Women,4
4338,2023Q4,Croatia,Varde,Men,4
4339,2023Q4,Croatia,Varde,Women,3
4340,2023Q4,Croatia,Vejen,Men,10
4341,2023Q4,Croatia,Vejen,Women,11
4342,2023Q4,Croatia,Vejle,Men,36
4343,2023Q4,Croatia,Vejle,Women,31
4344,2023Q4,Croatia,Aabenraa,Men,18
4345,2023Q4,Croatia,Aabenraa,Women,17
4346,2023Q4,Croatia,Region Midtjylland,Men,272
4347,2023Q4,Croatia,Region Midtjylland,Women,265
4348,2023Q4,Croatia,Favrskov,Men,3
4349,2023Q4,Croatia,Favrskov,Women,0
4350,2023Q4,Croatia,Hedensted,Men,8
4351,2023Q4,Croatia,Hedensted,Women,10
4352,2023Q4,Croatia,Horsens,Men,78
4353,2023Q4,Croatia,Horsens,Women,63
4354,2023Q4,Croatia,Norddjurs,Men,9
4355,2023Q4,Croatia,Norddjurs,Women,7
4356,2023Q4,Croatia,Odder,Men,3
4357,2023Q4,Croatia,Odder,Women,2
4358,2023Q4,Croatia,Randers,Men,10
4359,2023Q4,Croatia,Randers,Women,21
4360,2023Q4,Croatia,Samsø,Men,0
4361,2023Q4,Croatia,Samsø,Women,0
4362,2023Q4,Croatia,Silkeborg,Men,17
4363,2023Q4,Croatia,Silkeborg,Women,17
4364,2023Q4,Croatia,Skanderborg,Men,5
4365,2023Q4,Croatia,Skanderborg,Women,5
4366,2023Q4,Croatia,Syddjurs,Men,5
4367,2023Q4,Croatia,Syddjurs,Women,3
4368,2023Q4,Croatia,Aarhus,Men,88
4369,2023Q4,Croatia,Aarhus,Women,93
4370,2023Q4,Croatia,Herning,Men,18
4371,2023Q4,Croatia,Herning,Women,18
4372,2023Q4,Croatia,Holstebro,Men,8
4373,2023Q4,Croatia,Holstebro,Women,4
4374,2023Q4,Croatia,Ikast-Brande,Men,10
4375,2023Q4,Croatia,Ikast-Brande,Women,10
4376,2023Q4,Croatia,Lemvig,Men,0
4377,2023Q4,Croatia,Lemvig,Women,0
4378,2023Q4,Croatia,Ringkøbing-Skjern,Men,4
4379,2023Q4,Croatia,Ringkøbing-Skjern,Women,4
4380,2023Q4,Croatia,Skive,Men,1
4381,2023Q4,Croatia,Skive,Women,3
4382,2023Q4,Croatia,Struer,Men,0
4383,2023Q4,Croatia,Struer,Women,0
4384,2023Q4,Croatia,Viborg,Men,5
4385,2023Q4,Croatia,Viborg,Women,5
4386,2023Q4,Croatia,Region Nordjylland,Men,110
4387,2023Q4,Croatia,Region Nordjylland,Women,89
4388,2023Q4,Croatia,Brønderslev,Men,1
4389,2023Q4,Croatia,Brønderslev,Women,2
4390,2023Q4,Croatia,Frederikshavn,Men,13
4391,2023Q4,Croatia,Frederikshavn,Women,7
4392,2023Q4,Croatia,Hjørring,Men,5
4393,2023Q4,Croatia,Hjørring,Women,2
4394,2023Q4,Croatia,Jammerbugt,Men,3
4395,2023Q4,Croatia,Jammerbugt,Women,4
4396,2023Q4,Croatia,Læsø,Men,0
4397,2023Q4,Croatia,Læsø,Women,0
4398,2023Q4,Croatia,Mariagerfjord,Men,10
4399,2023Q4,Croatia,Mariagerfjord,Women,8
4400,2023Q4,Croatia,Morsø,Men,0
4401,2023Q4,Croatia,Morsø,Women,0
4402,2023Q4,Croatia,Rebild,Men,3
4403,2023Q4,Croatia,Rebild,Women,4
4404,2023Q4,Croatia,Thisted,Men,5
4405,2023Q4,Croatia,Thisted,Women,3
4406,2023Q4,Croatia,Vesthimmerlands,Men,0
4407,2023Q4,Croatia,Vesthimmerlands,Women,1
4408,2023Q4,Croatia,Aalborg,Men,70
4409,2023Q4,Croatia,Aalborg,Women,58
4410,2023Q4,Latvia,All Denmark,Men,3269
4411,2023Q4,Latvia,All Denmark,Women,3566
4412,2023Q4,Latvia,Region Hovedstaden,Men,864
4413,2023Q4,Latvia,Region Hovedstaden,Women,1131
4414,2023Q4,Latvia,Copenhagen,Men,410
4415,2023Q4,Latvia,Copenhagen,Women,575
4416,2023Q4,Latvia,Frederiksberg,Men,21
4417,2023Q4,Latvia,Frederiksberg,Women,36
4418,2023Q4,Latvia,Dragør,Men,2
4419,2023Q4,Latvia,Dragør,Women,2
4420,2023Q4,Latvia,Tårnby,Men,16
4421,2023Q4,Latvia,Tårnby,Women,23
4422,2023Q4,Latvia,Albertslund,Men,11
4423,2023Q4,Latvia,Albertslund,Women,9
4424,2023Q4,Latvia,Ballerup,Men,22
4425,2023Q4,Latvia,Ballerup,Women,20
4426,2023Q4,Latvia,Brøndby,Men,14
4427,2023Q4,Latvia,Brøndby,Women,19
4428,2023Q4,Latvia,Gentofte,Men,19
4429,2023Q4,Latvia,Gentofte,Women,33
4430,2023Q4,Latvia,Gladsaxe,Men,22
4431,2023Q4,Latvia,Gladsaxe,Women,30
4432,2023Q4,Latvia,Glostrup,Men,16
4433,2023Q4,Latvia,Glostrup,Women,17
4434,2023Q4,Latvia,Herlev,Men,8
4435,2023Q4,Latvia,Herlev,Women,16
4436,2023Q4,Latvia,Hvidovre,Men,21
4437,2023Q4,Latvia,Hvidovre,Women,22
4438,2023Q4,Latvia,Høje-Taastrup,Men,45
4439,2023Q4,Latvia,Høje-Taastrup,Women,44
4440,2023Q4,Latvia,Ishøj,Men,6
4441,2023Q4,Latvia,Ishøj,Women,14
4442,2023Q4,Latvia,Lyngby-Taarbæk,Men,24
4443,2023Q4,Latvia,Lyngby-Taarbæk,Women,33
4444,2023Q4,Latvia,Rødovre,Men,34
4445,2023Q4,Latvia,Rødovre,Women,27
4446,2023Q4,Latvia,Vallensbæk,Men,10
4447,2023Q4,Latvia,Vallensbæk,Women,11
4448,2023Q4,Latvia,Allerød,Men,4
4449,2023Q4,Latvia,Allerød,Women,5
4450,2023Q4,Latvia,Egedal,Men,23
4451,2023Q4,Latvia,Egedal,Women,24
4452,2023Q4,Latvia,Fredensborg,Men,13
4453,2023Q4,Latvia,Fredensborg,Women,25
4454,2023Q4,Latvia,Frederikssund,Men,16
4455,2023Q4,Latvia,Frederikssund,Women,14
4456,2023Q4,Latvia,Furesø,Men,18
4457,2023Q4,Latvia,Furesø,Women,26
4458,2023Q4,Latvia,Gribskov,Men,28
4459,2023Q4,Latvia,Gribskov,Women,29
4460,2023Q4,Latvia,Halsnæs,Men,10
4461,2023Q4,Latvia,Halsnæs,Women,5
4462,2023Q4,Latvia,Helsingør,Men,8
4463,2023Q4,Latvia,Helsingør,Women,16
4464,2023Q4,Latvia,Hillerød,Men,18
4465,2023Q4,Latvia,Hillerød,Women,18
4466,2023Q4,Latvia,Hørsholm,Men,9
4467,2023Q4,Latvia,Hørsholm,Women,9
4468,2023Q4,Latvia,Rudersdal,Men,14
4469,2023Q4,Latvia,Rudersdal,Women,24
4470,2023Q4,Latvia,Bornholm,Men,2
4471,2023Q4,Latvia,Bornholm,Women,5
4472,2023Q4,Latvia,Christiansø,Men,0
4473,2023Q4,Latvia,Christiansø,Women,0
4474,2023Q4,Latvia,Region Sjælland,Men,323
4475,2023Q4,Latvia,Region Sjælland,Women,313
4476,2023Q4,Latvia,Greve,Men,6
4477,2023Q4,Latvia,Greve,Women,16
4478,2023Q4,Latvia,Køge,Men,18
4479,2023Q4,Latvia,Køge,Women,25
4480,2023Q4,Latvia,Lejre,Men,14
4481,2023Q4,Latvia,Lejre,Women,8
4482,2023Q4,Latvia,Roskilde,Men,41
4483,2023Q4,Latvia,Roskilde,Women,23
4484,2023Q4,Latvia,Solrød,Men,11
4485,2023Q4,Latvia,Solrød,Women,14
4486,2023Q4,Latvia,Faxe,Men,7
4487,2023Q4,Latvia,Faxe,Women,18
4488,2023Q4,Latvia,Guldborgsund,Men,25
4489,2023Q4,Latvia,Guldborgsund,Women,23
4490,2023Q4,Latvia,Holbæk,Men,19
4491,2023Q4,Latvia,Holbæk,Women,26
4492,2023Q4,Latvia,Kalundborg,Men,25
4493,2023Q4,Latvia,Kalundborg,Women,21
4494,2023Q4,Latvia,Lolland,Men,7
4495,2023Q4,Latvia,Lolland,Women,10
4496,2023Q4,Latvia,Næstved,Men,21
4497,2023Q4,Latvia,Næstved,Women,22
4498,2023Q4,Latvia,Odsherred,Men,34
4499,2023Q4,Latvia,Odsherred,Women,26
4500,2023Q4,Latvia,Ringsted,Men,6
4501,2023Q4,Latvia,Ringsted,Women,12
4502,2023Q4,Latvia,Slagelse,Men,18
4503,2023Q4,Latvia,Slagelse,Women,20
4504,2023Q4,Latvia,Sorø,Men,8
4505,2023Q4,Latvia,Sorø,Women,11
4506,2023Q4,Latvia,Stevns,Men,41
4507,2023Q4,Latvia,Stevns,Women,31
4508,2023Q4,Latvia,Vordingborg,Men,22
4509,2023Q4,Latvia,Vordingborg,Women,7
4510,2023Q4,Latvia,Region Syddanmark,Men,818
4511,2023Q4,Latvia,Region Syddanmark,Women,858
4512,2023Q4,Latvia,Assens,Men,23
4513,2023Q4,Latvia,Assens,Women,18
4514,2023Q4,Latvia,Faaborg-Midtfyn,Men,21
4515,2023Q4,Latvia,Faaborg-Midtfyn,Women,13
4516,2023Q4,Latvia,Kerteminde,Men,13
4517,2023Q4,Latvia,Kerteminde,Women,13
4518,2023Q4,Latvia,Langeland,Men,3
4519,2023Q4,Latvia,Langeland,Women,4
4520,2023Q4,Latvia,Middelfart,Men,27
4521,2023Q4,Latvia,Middelfart,Women,30
4522,2023Q4,Latvia,Nordfyns,Men,18
4523,2023Q4,Latvia,Nordfyns,Women,21
4524,2023Q4,Latvia,Nyborg,Men,9
4525,2023Q4,Latvia,Nyborg,Women,20
4526,2023Q4,Latvia,Odense,Men,64
4527,2023Q4,Latvia,Odense,Women,90
4528,2023Q4,Latvia,Svendborg,Men,7
4529,2023Q4,Latvia,Svendborg,Women,7
4530,2023Q4,Latvia,Ærø,Men,0
4531,2023Q4,Latvia,Ærø,Women,0
4532,2023Q4,Latvia,Billund,Men,44
4533,2023Q4,Latvia,Billund,Women,50
4534,2023Q4,Latvia,Esbjerg,Men,41
4535,2023Q4,Latvia,Esbjerg,Women,49
4536,2023Q4,Latvia,Fanø,Men,2
4537,2023Q4,Latvia,Fanø,Women,2
4538,2023Q4,Latvia,Fredericia,Men,20
4539,2023Q4,Latvia,Fredericia,Women,25
4540,2023Q4,Latvia,Haderslev,Men,75
4541,2023Q4,Latvia,Haderslev,Women,71
4542,2023Q4,Latvia,Kolding,Men,77
4543,2023Q4,Latvia,Kolding,Women,100
4544,2023Q4,Latvia,Sønderborg,Men,42
4545,2023Q4,Latvia,Sønderborg,Women,35
4546,2023Q4,Latvia,Tønder,Men,28
4547,2023Q4,Latvia,Tønder,Women,50
4548,2023Q4,Latvia,Varde,Men,67
4549,2023Q4,Latvia,Varde,Women,59
4550,2023Q4,Latvia,Vejen,Men,37
4551,2023Q4,Latvia,Vejen,Women,28
4552,2023Q4,Latvia,Vejle,Men,145
4553,2023Q4,Latvia,Vejle,Women,117
4554,2023Q4,Latvia,Aabenraa,Men,55
4555,2023Q4,Latvia,Aabenraa,Women,56
4556,2023Q4,Latvia,Region Midtjylland,Men,991
4557,2023Q4,Latvia,Region Midtjylland,Women,980
4558,2023Q4,Latvia,Favrskov,Men,25
4559,2023Q4,Latvia,Favrskov,Women,12
4560,2023Q4,Latvia,Hedensted,Men,143
4561,2023Q4,Latvia,Hedensted,Women,89
4562,2023Q4,Latvia,Horsens,Men,138
4563,2023Q4,Latvia,Horsens,Women,94
4564,2023Q4,Latvia,Norddjurs,Men,17
4565,2023Q4,Latvia,Norddjurs,Women,30
4566,2023Q4,Latvia,Odder,Men,5
4567,2023Q4,Latvia,Odder,Women,2
4568,2023Q4,Latvia,Randers,Men,46
4569,2023Q4,Latvia,Randers,Women,65
4570,2023Q4,Latvia,Samsø,Men,0
4571,2023Q4,Latvia,Samsø,Women,0
4572,2023Q4,Latvia,Silkeborg,Men,25
4573,2023Q4,Latvia,Silkeborg,Women,46
4574,2023Q4,Latvia,Skanderborg,Men,9
4575,2023Q4,Latvia,Skanderborg,Women,12
4576,2023Q4,Latvia,Syddjurs,Men,9
4577,2023Q4,Latvia,Syddjurs,Women,7
4578,2023Q4,Latvia,Aarhus,Men,149
4579,2023Q4,Latvia,Aarhus,Women,196
4580,2023Q4,Latvia,Herning,Men,138
4581,2023Q4,Latvia,Herning,Women,116
4582,2023Q4,Latvia,Holstebro,Men,40
4583,2023Q4,Latvia,Holstebro,Women,42
4584,2023Q4,Latvia,Ikast-Brande,Men,68
4585,2023Q4,Latvia,Ikast-Brande,Women,64
4586,2023Q4,Latvia,Lemvig,Men,21
4587,2023Q4,Latvia,Lemvig,Women,20
4588,2023Q4,Latvia,Ringkøbing-Skjern,Men,89
4589,2023Q4,Latvia,Ringkøbing-Skjern,Women,86
4590,2023Q4,Latvia,Skive,Men,36
4591,2023Q4,Latvia,Skive,Women,45
4592,2023Q4,Latvia,Struer,Men,11
4593,2023Q4,Latvia,Struer,Women,23
4594,2023Q4,Latvia,Viborg,Men,22
4595,2023Q4,Latvia,Viborg,Women,31
4596,2023Q4,Latvia,Region Nordjylland,Men,273
4597,2023Q4,Latvia,Region Nordjylland,Women,284
4598,2023Q4,Latvia,Brønderslev,Men,14
4599,2023Q4,Latvia,Brønderslev,Women,22
4600,2023Q4,Latvia,Frederikshavn,Men,19
4601,2023Q4,Latvia,Frederikshavn,Women,16
4602,2023Q4,Latvia,Hjørring,Men,11
4603,2023Q4,Latvia,Hjørring,Women,13
4604,2023Q4,Latvia,Jammerbugt,Men,48
4605,2023Q4,Latvia,Jammerbugt,Women,45
4606,2023Q4,Latvia,Læsø,Men,0
4607,2023Q4,Latvia,Læsø,Women,0
4608,2023Q4,Latvia,Mariagerfjord,Men,19
4609,2023Q4,Latvia,Mariagerfjord,Women,33
4610,2023Q4,Latvia,Morsø,Men,10
4611,2023Q4,Latvia,Morsø,Women,11
4612,2023Q4,Latvia,Rebild,Men,11
4613,2023Q4,Latvia,Rebild,Women,10
4614,2023Q4,Latvia,Thisted,Men,11
4615,2023Q4,Latvia,Thisted,Women,11
4616,2023Q4,Latvia,Vesthimmerlands,Men,45
4617,2023Q4,Latvia,Vesthimmerlands,Women,25
4618,2023Q4,Latvia,Aalborg,Men,85
4619,2023Q4,Latvia,Aalborg,Women,98
4620,2023Q4,Liechtenstein,All Denmark,Men,4
4621,2023Q4,Liechtenstein,All Denmark,Women,5
4622,2023Q4,Liechtenstein,Region Hovedstaden,Men,3
4623,2023Q4,Liechtenstein,Region Hovedstaden,Women,5
4624,2023Q4,Liechtenstein,Copenhagen,Men,2
4625,2023Q4,Liechtenstein,Copenhagen,Women,3
4626,2023Q4,Liechtenstein,Frederiksberg,Men,0
4627,2023Q4,Liechtenstein,Frederiksberg,Women,0
4628,2023Q4,Liechtenstein,Dragør,Men,0
4629,2023Q4,Liechtenstein,Dragør,Women,0
4630,2023Q4,Liechtenstein,Tårnby,Men,0
4631,2023Q4,Liechtenstein,Tårnby,Women,0
4632,2023Q4,Liechtenstein,Albertslund,Men,0
4633,2023Q4,Liechtenstein,Albertslund,Women,0
4634,2023Q4,Liechtenstein,Ballerup,Men,0
4635,2023Q4,Liechtenstein,Ballerup,Women,0
4636,2023Q4,Liechtenstein,Brøndby,Men,1
4637,2023Q4,Liechtenstein,Brøndby,Women,1
4638,2023Q4,Liechtenstein,Gentofte,Men,0
4639,2023Q4,Liechtenstein,Gentofte,Women,0
4640,2023Q4,Liechtenstein,Gladsaxe,Men,0
4641,2023Q4,Liechtenstein,Gladsaxe,Women,0
4642,2023Q4,Liechtenstein,Glostrup,Men,0
4643,2023Q4,Liechtenstein,Glostrup,Women,0
4644,2023Q4,Liechtenstein,Herlev,Men,0
4645,2023Q4,Liechtenstein,Herlev,Women,0
4646,2023Q4,Liechtenstein,Hvidovre,Men,0
4647,2023Q4,Liechtenstein,Hvidovre,Women,0
4648,2023Q4,Liechtenstein,Høje-Taastrup,Men,0
4649,2023Q4,Liechtenstein,Høje-Taastrup,Women,0
4650,2023Q4,Liechtenstein,Ishøj,Men,0
4651,2023Q4,Liechtenstein,Ishøj,Women,0
4652,2023Q4,Liechtenstein,Lyngby-Taarbæk,Men,0
4653,2023Q4,Liechtenstein,Lyngby-Taarbæk,Women,0
4654,2023Q4,Liechtenstein,Rødovre,Men,0
4655,2023Q4,Liechtenstein,Rødovre,Women,0
4656,2023Q4,Liechtenstein,Vallensbæk,Men,0
4657,2023Q4,Liechtenstein,Vallensbæk,Women,0
4658,2023Q4,Liechtenstein,Allerød,Men,0
4659,2023Q4,Liechtenstein,Allerød,Women,0
4660,2023Q4,Liechtenstein,Egedal,Men,0
4661,2023Q4,Liechtenstein,Egedal,Women,0
4662,2023Q4,Liechtenstein,Fredensborg,Men,0
4663,2023Q4,Liechtenstein,Fredensborg,Women,0
4664,2023Q4,Liechtenstein,Frederikssund,Men,0
4665,2023Q4,Liechtenstein,Frederikssund,Women,0
4666,2023Q4,Liechtenstein,Furesø,Men,0
4667,2023Q4,Liechtenstein,Furesø,Women,0
4668,2023Q4,Liechtenstein,Gribskov,Men,0
4669,2023Q4,Liechtenstein,Gribskov,Women,0
4670,2023Q4,Liechtenstein,Halsnæs,Men,0
4671,2023Q4,Liechtenstein,Halsnæs,Women,1
4672,2023Q4,Liechtenstein,Helsingør,Men,0
4673,2023Q4,Liechtenstein,Helsingør,Women,0
4674,2023Q4,Liechtenstein,Hillerød,Men,0
4675,2023Q4,Liechtenstein,Hillerød,Women,0
4676,2023Q4,Liechtenstein,Hørsholm,Men,0
4677,2023Q4,Liechtenstein,Hørsholm,Women,0
4678,2023Q4,Liechtenstein,Rudersdal,Men,0
4679,2023Q4,Liechtenstein,Rudersdal,Women,0
4680,2023Q4,Liechtenstein,Bornholm,Men,0
4681,2023Q4,Liechtenstein,Bornholm,Women,0
4682,2023Q4,Liechtenstein,Christiansø,Men,0
4683,2023Q4,Liechtenstein,Christiansø,Women,0
4684,2023Q4,Liechtenstein,Region Sjælland,Men,0
4685,2023Q4,Liechtenstein,Region Sjælland,Women,0
4686,2023Q4,Liechtenstein,Greve,Men,0
4687,2023Q4,Liechtenstein,Greve,Women,0
4688,2023Q4,Liechtenstein,Køge,Men,0
4689,2023Q4,Liechtenstein,Køge,Women,0
4690,2023Q4,Liechtenstein,Lejre,Men,0
4691,2023Q4,Liechtenstein,Lejre,Women,0
4692,2023Q4,Liechtenstein,Roskilde,Men,0
4693,2023Q4,Liechtenstein,Roskilde,Women,0
4694,2023Q4,Liechtenstein,Solrød,Men,0
4695,2023Q4,Liechtenstein,Solrød,Women,0
4696,2023Q4,Liechtenstein,Faxe,Men,0
4697,2023Q4,Liechtenstein,Faxe,Women,0
4698,2023Q4,Liechtenstein,Guldborgsund,Men,0
4699,2023Q4,Liechtenstein,Guldborgsund,Women,0
4700,2023Q4,Liechtenstein,Holbæk,Men,0
4701,2023Q4,Liechtenstein,Holbæk,Women,0
4702,2023Q4,Liechtenstein,Kalundborg,Men,0
4703,2023Q4,Liechtenstein,Kalundborg,Women,0
4704,2023Q4,Liechtenstein,Lolland,Men,0
4705,2023Q4,Liechtenstein,Lolland,Women,0
4706,2023Q4,Liechtenstein,Næstved,Men,0
4707,2023Q4,Liechtenstein,Næstved,Women,0
4708,2023Q4,Liechtenstein,Odsherred,Men,0
4709,2023Q4,Liechtenstein,Odsherred,Women,0
4710,2023Q4,Liechtenstein,Ringsted,Men,0
4711,2023Q4,Liechtenstein,Ringsted,Women,0
4712,2023Q4,Liechtenstein,Slagelse,Men,0
4713,2023Q4,Liechtenstein,Slagelse,Women,0
4714,2023Q4,Liechtenstein,Sorø,Men,0
4715,2023Q4,Liechtenstein,Sorø,Women,0
4716,2023Q4,Liechtenstein,Stevns,Men,0
4717,2023Q4,Liechtenstein,Stevns,Women,0
4718,2023Q4,Liechtenstein,Vordingborg,Men,0
4719,2023Q4,Liechtenstein,Vordingborg,Women,0
4720,2023Q4,Liechtenstein,Region Syddanmark,Men,0
4721,2023Q4,Liechtenstein,Region Syddanmark,Women,0
4722,2023Q4,Liechtenstein,Assens,Men,0
4723,2023Q4,Liechtenstein,Assens,Women,0
4724,2023Q4,Liechtenstein,Faaborg-Midtfyn,Men,0
4725,2023Q4,Liechtenstein,Faaborg-Midtfyn,Women,0
4726,2023Q4,Liechtenstein,Kerteminde,Men,0
4727,2023Q4,Liechtenstein,Kerteminde,Women,0
4728,2023Q4,Liechtenstein,Langeland,Men,0
4729,2023Q4,Liechtenstein,Langeland,Women,0
4730,2023Q4,Liechtenstein,Middelfart,Men,0
4731,2023Q4,Liechtenstein,Middelfart,Women,0
4732,2023Q4,Liechtenstein,Nordfyns,Men,0
4733,2023Q4,Liechtenstein,Nordfyns,Women,0
4734,2023Q4,Liechtenstein,Nyborg,Men,0
4735,2023Q4,Liechtenstein,Nyborg,Women,0
4736,2023Q4,Liechtenstein,Odense,Men,0
4737,2023Q4,Liechtenstein,Odense,Women,0
4738,2023Q4,Liechtenstein,Svendborg,Men,0
4739,2023Q4,Liechtenstein,Svendborg,Women,0
4740,2023Q4,Liechtenstein,Ærø,Men,0
4741,2023Q4,Liechtenstein,Ærø,Women,0
4742,2023Q4,Liechtenstein,Billund,Men,0
4743,2023Q4,Liechtenstein,Billund,Women,0
4744,2023Q4,Liechtenstein,Esbjerg,Men,0
4745,2023Q4,Liechtenstein,Esbjerg,Women,0
4746,2023Q4,Liechtenstein,Fanø,Men,0
4747,2023Q4,Liechtenstein,Fanø,Women,0
4748,2023Q4,Liechtenstein,Fredericia,Men,0
4749,2023Q4,Liechtenstein,Fredericia,Women,0
4750,2023Q4,Liechtenstein,Haderslev,Men,0
4751,2023Q4,Liechtenstein,Haderslev,Women,0
4752,2023Q4,Liechtenstein,Kolding,Men,0
4753,2023Q4,Liechtenstein,Kolding,Women,0
4754,2023Q4,Liechtenstein,Sønderborg,Men,0
4755,2023Q4,Liechtenstein,Sønderborg,Women,0
4756,2023Q4,Liechtenstein,Tønder,Men,0
4757,2023Q4,Liechtenstein,Tønder,Women,0
4758,2023Q4,Liechtenstein,Varde,Men,0
4759,2023Q4,Liechtenstein,Varde,Women,0
4760,2023Q4,Liechtenstein,Vejen,Men,0
4761,2023Q4,Liechtenstein,Vejen,Women,0
4762,2023Q4,Liechtenstein,Vejle,Men,0
4763,2023Q4,Liechtenstein,Vejle,Women,0
4764,2023Q4,Liechtenstein,Aabenraa,Men,0
4765,2023Q4,Liechtenstein,Aabenraa,Women,0
4766,2023Q4,Liechtenstein,Region Midtjylland,Men,0
4767,2023Q4,Liechtenstein,Region Midtjylland,Women,0
4768,2023Q4,Liechtenstein,Favrskov,Men,0
4769,2023Q4,Liechtenstein,Favrskov,Women,0
4770,2023Q4,Liechtenstein,Hedensted,Men,0
4771,2023Q4,Liechtenstein,Hedensted,Women,0
4772,2023Q4,Liechtenstein,Horsens,Men,0
4773,2023Q4,Liechtenstein,Horsens,Women,0
4774,2023Q4,Liechtenstein,Norddjurs,Men,0
4775,2023Q4,Liechtenstein,Norddjurs,Women,0
4776,2023Q4,Liechtenstein,Odder,Men,0
4777,2023Q4,Liechtenstein,Odder,Women,0
4778,2023Q4,Liechtenstein,Randers,Men,0
4779,2023Q4,Liechtenstein,Randers,Women,0
4780,2023Q4,Liechtenstein,Samsø,Men,0
4781,2023Q4,Liechtenstein,Samsø,Women,0
4782,2023Q4,Liechtenstein,Silkeborg,Men,0
4783,2023Q4,Liechtenstein,Silkeborg,Women,0
4784,2023Q4,Liechtenstein,Skanderborg,Men,0
4785,2023Q4,Liechtenstein,Skanderborg,Women,0
4786,2023Q4,Liechtenstein,Syddjurs,Men,0
4787,2023Q4,Liechtenstein,Syddjurs,Women,0
4788,2023Q4,Liechtenstein,Aarhus,Men,0
4789,2023Q4,Liechtenstein,Aarhus,Women,0
4790,2023Q4,Liechtenstein,Herning,Men,0
4791,2023Q4,Liechtenstein,Herning,Women,0
4792,2023Q4,Liechtenstein,Holstebro,Men,0
4793,2023Q4,Liechtenstein,Holstebro,Women,0
4794,2023Q4,Liechtenstein,Ikast-Brande,Men,0
4795,2023Q4,Liechtenstein,Ikast-Brande,Women,0
4796,2023Q4,Liechtenstein,Lemvig,Men,0
4797,2023Q4,Liechtenstein,Lemvig,Women,0
4798,2023Q4,Liechtenstein,Ringkøbing-Skjern,Men,0
4799,2023Q4,Liechtenstein,Ringkøbing-Skjern,Women,0
4800,2023Q4,Liechtenstein,Skive,Men,0
4801,2023Q4,Liechtenstein,Skive,Women,0
4802,2023Q4,Liechtenstein,Struer,Men,0
4803,2023Q4,Liechtenstein,Struer,Women,0
4804,2023Q4,Liechtenstein,Viborg,Men,0
4805,2023Q4,Liechtenstein,Viborg,Women,0
